title,english-title,year,month
데이터 문해력,Data Literacy,2025,12
리크루터의 채용 실무 가이드,,2025,12
실패를 생각하지 않는 연습,,2025,12
애플에서는 단순하게 일합니다,,2025,11
자기만의 트랙,,2025,11
에디토리얼 씽킹,Editorial Thinking,2025,11
완벽에 관하여,Building: A Carpenter's Notes on Life & the Art of Good Work,2025,11
일을 잘한다는 것,,2025,11
The Tech Resume Inside Out,,2025,10
나는 메트로폴리탄 미술관의 경비원입니다,All the Beauty in the World,2025,9
그림들,,2025,9
자기만의 트랙,,2025,9
뉴욕에게 묻다,,2025,9
디테일의 발견,,2025,9
뉴욕은 어떻게 뉴욕이 됐을까?,,2025,9
함께 자라기,,2025,9
완벽한 선택은 없다,,2025,8
린 소프트웨어 개발,Lean Software Development,2025,8
실용주의 사고와 학습,Pragmatic Thinking and Learning,2025,8
INFJ 의사의 병원 일기,,2025,8
안다는 착각,,2025,8
노트의 품격,,2025,8
왜 나는 항상 결심만 할까?,The Willpower Instinct,2025,7
달리기를 말할 때 내가 하고 싶은 이야기,What I Talk About When I Talk About Running,2025,7
단 한 번의 삶,,2025,7
내게 남은 스물다섯 번의 계절,25 letzte Sommer,2025,7
무엇이 1등 팀을 만드는가?,Leading Effective Engineering Teams,2025,6
진홍색 연구,A Study in Scarlet,2025,5
(사용자를) 생각하게 하지 마!,Don't Make Me Think,2025,4
나 홀로 유럽,,2025,4
그리고 아무도 없었다,And Then There Were None,2025,4
모든 것은 예측 가능하다,Everything Is Predictable,2025,4
주문하신 대만 간식 나왔습니다,,2025,4
책 잘 읽는 방법,,2025,3
80:20 학습법,,2025,3
헬스는 쪼렙입니다만,,2025,3
현직 약사가 알려주는 영양제 특강,,2025,3
우리는 왜 잠을 자야할까,Why We Sleep,2025,3
더 머니북,,2025,2
비만코드,The Obesity Code,2025,2
불안한 완벽주의자를 위한 책,The Anxious Perfectionist,2025,2
정리의 기술,The Life-Changing Magic of Tidying Up,2025,2
어디서 살 것인가: 우리가 살고 싶은 곳의 기준을 바꾸다,,2025,1
아티스트의 탁구 노트,,2025,1
그림으로 배우는 HTTP & Network Basics,,2025,1
어린왕자,The Little Prince,2024,12
오늘을 사는 이유,Carpe Diem Redeemed,2024,12
죽음의 수용소에서,Man's Search for Meaning,2024,11
1만 시간의 재발견,Peak: Secrets from the New Science of Expertise,2024,10
제텔카스텐,How to Take Smart Notes,2024,9
이방인,The Stranger,2024,9
이동진 독서법,,2024,9
피플웨어,Peopleware,2024,8
딥 워크,Deep Work,2024,6
Tidy First?,,2024,5
내가 한 말을 내가 오해하지 않기로,,2024,4
가상 면접 사례로 배우는 머신러닝 시스템 설계 기초,Machine Learning System Design Interview,2024,3
개발자의 글쓰기,,2024,2
거인의 노트,,2024,2
유난한 도전,,2023,12
함께 자라기,,2023,11
진작 이렇게 책을 읽었더라면,,2023,4
메이크타임,Make Time : How to focus on what matters every day,2022,10
이팩티브 엔지니어,The Effective Engineer,2022,7
